Code,Long definition,Source
CPTOTSAXMZGY,"Median inflation rate calculated for geographical aggregates (regions, world, etc) of the annual percent change of the CPI. Data is seasonally adjusted.",World Bank staff calculations based on Datastream data.
CPTOTSAXNZGY,"The consumer price index reflects the change in prices for the average consumer of a constant basket of consumer goods. Data is in nominal percentage terms, measured on a year-on-year basis, and seasonally adjusted.",World Bank staff calculations based on Datastream data.
CPTOTSAXN,The consumer price index reflects the change in prices for the average consumer of a constant basket of consumer goods. Data is in nominal terms and seasonally adjusted.,World Bank staff calculations based on Datastream data.
CPTOTNSXN,The consumer price index reflects the change in prices for the average consumer of a constant basket of consumer goods. Data is not seasonally adjusted.,World Bank staff calculations based on Datastream data.
DPANUSSPB,"Local currency units (LCU) per U.S. dollar, with values prior to the currency's introduction presented in the new currency's terms",World Bank staff calculations based on Datastream and IMF International Finance Statistics data.
DPANUSSPF,"Local currency units (LCU) per U.S. dollar, with values after a new currency's introduction presented in the old currency's terms",World Bank staff calculations based on Datastream and IMF International Finance Statistics data.
DXGSRMRCHNSKD,"Merchandise (goods) exports,  free on board (f.o.b.), in constant US$ millions not seasonally adjusted. The base year is 2005.",World Bank staff calculations based on Datastream and IMF International Finance Statistics data.
DXGSRMRCHSAKD,"Merchandise (goods) exports,  free on board (f.o.b.), in constant US$ millions, seasonally adjusted. The base year is 2005.",World Bank staff calculations based on Datastream and IMF International Finance Statistics data.
DXGSRMRCHNSCD,"Merchandise (goods) exports,  free on board (f.o.b.), in current US$ millions, not seasonally adjusted.",World Bank staff calculations based on Datastream and IMF International Finance Statistics data.
DXGSRMRCHSACD,"Merchandise (goods) exports,  free on board (f.o.b.), in current US$ millions, seasonally adjusted.",World Bank staff calculations based on Datastream and IMF International Finance Statistics data.
DXGSRMRCHNSXD,"The price index of Merchandise (goods) exports,  free on board (f.o.b.), in currrent US$ millions. Not seasonally adjusted.",World Bank staff calculations based on Datastream and IMF International Finance Statistics data.
DXGSRMRCHSAXD,"The price index of Merchandise (goods) exports,  free on board (f.o.b.), in US$ seasonally adjusted.",World Bank staff calculations based on Datastream and IMF International Finance Statistics data.
DMGSRMRCHNSKD,"Merchandise (goods) imports, cost, insurance and freight basis (c.i.f.), in constant US$ millions, not seasonally adjusted. The base year is 2005.",World Bank staff calculations based on Datastream and IMF International Finance Statistics data.
DMGSRMRCHSAKD,"Merchandise (goods) exports, cost, insurance and freight basis (c.i.f.), in constant US$ millions, seasonally adjusted. The base year is 2005.",World Bank staff calculations based on Datastream and IMF International Finance Statistics data.
DMGSRMRCHNSCD,"Merchandise (goods) imports, cost, insurance and freight basis (c.i.f.), in current US$ millions, not seasonally adjusted.",World Bank staff calculations based on Datastream and IMF International Finance Statistics data.
DMGSRMRCHSACD,"Merchandise (goods) imports, cost, insurance and freight basis (c.i.f.), in current US$ millions, seasonally adjusted.",World Bank staff calculations based on Datastream and IMF International Finance Statistics data.
DMGSRMRCHNSXD,"The price index of Merchandise (goods) imports, cost, insurance and freight basis (c.i.f.), in constant US$ millions, not seasonally adjusted. The base year is 2005.",World Bank staff calculations based on Datastream and IMF International Finance Statistics data.
DMGSRMRCHSAXD,"The price index of Merchandise (goods) imports, cost, insurance and freight basis (c.i.f.), in constant US$ millions, seasonally adjusted. The base year is 2005.",World Bank staff calculations based on Datastream and IMF International Finance Statistics data.
IPTOTSAKD,"An economic indicator that measures changes in output for the industrial sector of the economy. The industrial sector includes manufacturing, mining, and utilities. Data is in constant US$, seasonally adjusted. The base year is 2005.",World Bank staff calculations based on Datastream data.
IPTOTNSKD,"An economic indicator that measures changes in output for the industrial sector of the economy. The industrial sector includes manufacturing, mining, and utilities. Data is in constant US$, and not seasonally adjusted. The base year is 2005.",World Bank staff calculations based on Datastream data.
IMPCOV,The stock of international reserves is expressed as the number of months of financing-coverage it represents for the given country's imports of merchandise goods.,World Bank staff calculations based on Datastream data.
NEER,A measure of the value of a currency against a weighted average of several foreign currencies,World Bank staff calculations based on Datastream and IMF International Finance Statistics data.
DPANUSLCU,Official exchange rate refers to the exchange rate determined by national authorities or to the rate determined in the legally sanctioned exchange market. It is calculated as an annual average based on monthly averages (local currency units relative to the U.S. dollar).,World Bank staff calculations based on Datastream and IMF International Finance Statistics data.
REER,Real effective exchange rate is the nominal effective exchange rate (a measure of the value of a currency against a weighted average of several foreign currencies) divided by a price deflator or index of costs.,World Bank staff calculations based on Datastream and IMF International Finance Statistics data.
DSTKMKTXN,Local equity market index valued in local currency unit (LCU) terms,World Bank staff calculations based on Datastream and IMF International Finance Statistics data.
DSTKMKTXD,Local equity market index valued in US$ terms,World Bank staff calculations based on Datastream and IMF International Finance Statistics data.
TOT,The terms of trade effect equals capacity to import less exports of goods and services.,World Bank staff calculations based on Datastream data.
TOTRESV,"Total reserves comprise holdings of monetary gold, special drawing rights, reserves of IMF members held by the IMF, and holdings of foreign exchange under the control of monetary authorities. ",World Bank staff calculations based on Datastream data.
